Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0805_2012Metric,158.8,-53.35,0.0,top
C2,C,C_0805_2012Metric,122.000594,-52.7,0.0,top
C3,C,C_0805_2012Metric,48.850594,-54.45,0.0,top
C4,C,C_0805_2012Metric,71.400594,-54.45,0.0,top
C5,C,C_0805_2012Metric,94.150594,-50.05,0.0,top
C6,C,C_0805_2012Metric,140.900594,-64.85,0.0,top
D1,D_BAV70,TSOT-23_HandSoldering,169.075394,-111.0144,0.0,top
D2,SK6812MINI,YS-SK6812MINI-E-bkb,164.263394,-50.330601,0.0,top
D3,SK6812MINI,YS-SK6812MINI-E-bkb,164.263394,-73.292201,0.0,top
D4,SK6812MINI,YS-SK6812MINI-E-bkb,164.263394,-96.228401,0.0,top
D5,SK6812MINI,YS-SK6812MINI-E-bkb,142.758995,-119.1326,0.0,top
D7,SK6812MINI,YS-SK6812MINI-E-bkb,142.758995,-96.1964,0.0,top
D9,D_BAV70,TSOT-23_HandSoldering,116.925394,-52.7644,0.0,top
D10,D_BAV70,TSOT-23_HandSoldering,126.225394,-79.3644,90.0,top
D11,D_BAV70,TSOT-23_HandSoldering,103.250594,-50.8,0.0,top
D12,D_BAV70,TSOT-23_HandSoldering,104.600594,-97.6,-90.0,top
D13,D_BAV70,TSOT-23_HandSoldering,168.825394,-64.8644,0.0,top
D14,D_BAV70,TSOT-23_HandSoldering,79.900594,-55.1,0.0,top
D15,D_BAV70,TSOT-23_HandSoldering,81.075394,-79.9144,90.0,top
D16,D_BAV70,TSOT-23_HandSoldering,57.925394,-55.2644,0.0,top
D17,D_BAV70,TSOT-23_HandSoldering,58.025394,-101.8644,0.0,top
D18,SK6812MINI,YS-SK6812MINI-E-bkb,164.275393,-119.184398,0.0,top
D19,SK6812MINI,YS-SK6812MINI-E-bkb,120.775394,-38.334399,0.0,top
D21,SK6812MINI,YS-SK6812MINI-E-bkb,120.747194,-61.2554,0.0,top
D23,SK6812MINI,YS-SK6812MINI-E-bkb,120.747194,-84.1916,0.0,top
D25,SK6812MINI,YS-SK6812MINI-E-bkb,120.747194,-107.1532,0.0,top
D31,D_BAV70,TSOT-23_HandSoldering,147.325394,-65.0144,0.0,top
D32,D_BAV70,TSOT-23_HandSoldering,148.225394,-112.9644,90.0,top
D33,SK6812MINI,YS-SK6812MINI-E-bkb,142.758995,-73.2348,0.0,top
D35,SK6812MINI,YS-SK6812MINI-E-bkb,142.758995,-50.324,0.0,top
D37,SK6812MINI,YS-SK6812MINI-E-bkb,98.776194,-104.8926,0.0,top
D39,SK6812MINI,YS-SK6812MINI-E-bkb,98.776194,-81.9818,0.0,top
D41,SK6812MINI,YS-SK6812MINI-E-bkb,98.776194,-59.0202,0.0,top
D43,SK6812MINI,YS-SK6812MINI-E-bkb,98.776194,-36.0586,0.0,top
D45,SK6812MINI,YS-SK6812MINI-E-bkb,75.279594,-39.5704,0.0,top
D47,SK6812MINI,YS-SK6812MINI-E-bkb,75.279594,-62.5066,0.0,top
D49,SK6812MINI,YS-SK6812MINI-E-bkb,75.254194,-85.4428,0.0,top
D51,SK6812MINI,YS-SK6812MINI-E-bkb,75.275394,-108.434398,0.0,top
