Comment,Designator,Footprint,LCSC
NAV_SWITCH-_K1-1508SA-03,"S1,S2",SW-SMD_K1-1508SA-03, C502286
D,"D11,D12,D30,D39,D40,D41,D42,D43,D44,D45,D46,D5",D_SOD-123F,C108804
1K,"R34,R35,R5,R60",R_0402_1005Metric,C11702
MB85RC256VPF-G-JNERE2,"U14,U5",SOIC8_208MIL,C126728
22r,"R15,R16,R42,R43",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C140034
JST_SH_1X4,"U16,U7",JST_SH 4p,C145956
TCR2EF19,"U13,U4",SOT-23-5,C146366
0.1u,"C24,C49",C_0603_1608Metric,C14663
100n,"C1,C11,C12,C16,C17,C18,C19,C2,C20,C22,C23,C29,C33,C35,C38,C39,C40,C43,C44,C45,C46,C47,C48,C53,C57,C59,C6,C60,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89",C_0402_1005Metric,C1525
15p,"C15,C3,C4,C9",C_0402_1005Metric,C1548
10u,"C37,C61",C_0402_1005Metric,C15525
1uf,"C21,C25,C30,C5,C50,C54",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849
TYPE-C-31-M12_13,"J19,J24,J30,J8",HRO-TYPE-C-31-M-12-mod,C165948
SMF5.0A,"D3,D9",D_SOD-123FL,C193402
Buzzer,"BZ1,BZ2",Buzzer_SMD_KLJ-1102_11x9,C201041
RP2040,"U2,U9",RP2040-QFN-56,C2040
12MHz,"Y1,Y2",Crystal_SMD_2520-4Pin_2.5x2.0mm,C2149204
4.7u,"C14,C34,C42,C58",C_0402_1005Metric,C23733
27R,"R10,R19,R3,R4",R_0402_1005Metric,C25100
39,"R36,R6",R_0402_1005Metric,C25110
10k,"R13,R14,R37,R40,R41,R7",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744
51K,"R27,R28,R29,R53,R54,R55",R_0402_1005Metric,C25794
2K2,"R11,R17,R38,R44",R_0402_1005Metric,C25879
4.7k,"R18,R20,R45,R46",R_0402_1005Metric,C25900
5K1,"R1,R12,R2,R22,R23,R24,R25,R26,R39,R48,R49,R50,R51,R52,R8,R9",R_0402_1005Metric,C25905
S3B-PH-SM4-TB(LF)(SN),"J3,J37",JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,C265101
S6B-PH-SM4-TB(LF)(SN),"J32,J33,J34,J38,J39,J40,J41,J42",JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,C265405
PRTR5V0U2X,"D1,D10,D4,D7",SOT-143,C2827688
4A/0805,"FB10,FB11,FB12,FB13,FB14,FB15,FB16,FB17,FB18,FB19,FB2,FB20,FB4,FB5,FB6,FB7,FB8,FB9",L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2847222
1uf,"C27,C32,C51,C56",C_0402_1005Metric,C307413
10k,"R21,R30,R31,R32,R33,R47,R56,R57,R58,R59",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C328298
AO3401A,"Q4,Q6",SOT-23,C347476
SN74AHCT1G125DCKR,"U10,U17",SOT-353_SC-70-5_Handsoldering,C350557
4A/0805,"FB1,FB3",L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C370576
LMV321,"U11,U18",SOT-23-5,C395459
SW_Push,"K1,K2",Panasonic_EVQPUL_EVQPUC,C397351
Conn_01x12_Female,"J15,J27",FPC-SMD_FPC05012-09200-.5mm,C479750
2N7002VC-7,"Q1,Q2,Q3,Q5",SOT-563,C504145
1u,"C10,C13,C26,C28,C31,C41,C52,C55",C_0402_1005Metric,C52923
Waveshare_-_160x80_(ST7735S),"J35,J36",CONN-SMD_P2.00_PH-8P,C64660
LED,"D2,D8",LED_0603_1608Metric,C72041
