Comment,Designator,Footprint,LCSC
C,"C1,C2,C3,C4,C5,C6",C_0805_2012Metric,C28323
D_BAV70,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D31,D32,D9",TSOT-23_HandSoldering,C68978
SK6812MINI,D55,YS-SK6812MINI-E-bkb,
SK6812MINI,D43,YS-SK6812MINI-E-bkb,
SK6812MINI,D18,YS-SK6812MINI-E-bkb,
SW_Push,SW12,SW_MX_KS_Choc-mod,
Conn_01x03_Female,J3,PinHeader_1x03_P2.54mm_Vertical,
SW_Push,SW7,SW_MX_KS_Choc-mod,
SK6812MINI,D23,YS-SK6812MINI-E-bkb,
SW_Push,SW16,SW_MX_KS_Choc-mod,
SW_Push,SW21,SW_MX_KS_Choc-mod,
SK6812MINI,D49,YS-SK6812MINI-E-bkb,
SW_Push,SW11,SW_MX_KS_Choc-mod,
SW_Push,SW19,SW_MX_KS_Choc-mod,
SK6812MINI,D7,YS-SK6812MINI-E-bkb,
Conn_01x05_Female,J2,PinHeader_1x05_P2.54mm_Vertical,
SK6812MINI,D37,YS-SK6812MINI-E-bkb,
Conn_01x06_Female,J4,PinHeader_1x06_P2.54mm_Vertical,
SK6812MINI,D35,YS-SK6812MINI-E-bkb,
Conn_01x03_Female,J5,PinHeader_1x03_P2.54mm_Vertical,
SK6812MINI,D41,YS-SK6812MINI-E-bkb,
SK6812MINI,D2,YS-SK6812MINI-E-bkb,
SK6812MINI,D4,YS-SK6812MINI-E-bkb,
SK6812MINI,D25,YS-SK6812MINI-E-bkb,
SW_Push,SW17,SW_MX_KS_Choc-mod,
SK6812MINI,D59,YS-SK6812MINI-E-bkb,
SW_Push,SW5,SW_MX_KS_Choc-mod,
SK6812MINI,D57,YS-SK6812MINI-E-bkb,
SW_Push,SW9,SW_MX_KS_Choc-mod,
SW_Push,SW14,SW_MX_KS_Choc-mod,
SK6812MINI,D39,YS-SK6812MINI-E-bkb,
SW_Push,SW15,SW_MX_KS_Choc-mod,
SK6812MINI,D33,YS-SK6812MINI-E-bkb,
Conn_01x06_Female,J1,PinHeader_1x06_P2.54mm_Vertical,
SW_Push,SW1,SW_MX_KS_Choc-mod,
SW_Push,SW24,SW_MX_KS_Choc-mod,
SW_Push,SW8,SW_MX_KS_Choc-mod,
SW_Push,SW10,SW_MX_KS_Choc-mod,
SW_Push,SW25,SW_MX_KS_Choc-mod,
SK6812MINI,D45,YS-SK6812MINI-E-bkb,
SW_Push,SW26,SW_MX_KS_Choc-mod,
SK6812MINI,D3,YS-SK6812MINI-E-bkb,
SK6812MINI,D51,YS-SK6812MINI-E-bkb,
SW_Push,SW20,SW_MX_KS_Choc-mod,
SW_Push,SW2,SW_MX_KS_Choc-mod,
SW_Push,SW22,SW_MX_KS_Choc-mod,
SW_Push,SW23,SW_MX_KS_Choc-mod,
SK6812MINI,D19,YS-SK6812MINI-E-bkb,
SK6812MINI,D5,YS-SK6812MINI-E-bkb,
SW_Push,SW6,SW_MX_KS_Choc-mod,
SK6812MINI,D21,YS-SK6812MINI-E-bkb,
SK6812MINI,D47,YS-SK6812MINI-E-bkb,
SK6812MINI,D53,YS-SK6812MINI-E-bkb,
SW_Push,SW3,SW_MX_KS_Choc-mod,
SW_Push,SW4,SW_MX_KS_Choc-mod,
