Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C,C_0805_2012Metric,49.0252,-53.0644,180.0,top
C2,C,C_0805_2012Metric,86.0,-52.7,0.0,top
C3,C,C_0805_2012Metric,159.15,-54.45,0.0,top
C4,C,C_0805_2012Metric,136.6,-54.45,0.0,top
C5,C,C_0805_2012Metric,113.85,-50.05,0.0,top
C6,C,C_0805_2012Metric,67.1,-64.85,0.0,top
D1,D_BAV70,TSOT-23_HandSoldering,38.9252,-111.0144,0.0,top
D2,SK6812MINI,YS-SK6812MINI-E-bkb,43.7372,-50.330601,180.0,top
D3,SK6812MINI,YS-SK6812MINI-E-bkb,43.7372,-73.292201,0.0,top
D4,SK6812MINI,YS-SK6812MINI-E-bkb,43.7372,-96.228401,0.0,top
D5,SK6812MINI,YS-SK6812MINI-E-bkb,65.241599,-119.1326,0.0,top
D7,SK6812MINI,YS-SK6812MINI-E-bkb,65.241599,-96.1964,0.0,top
D9,D_BAV70,TSOT-23_HandSoldering,91.0752,-52.7644,0.0,top
D10,D_BAV70,TSOT-23_HandSoldering,81.7752,-79.3644,90.0,top
D11,D_BAV70,TSOT-23_HandSoldering,104.75,-50.8,0.0,top
D12,D_BAV70,TSOT-23_HandSoldering,103.4,-97.6,-90.0,top
D13,D_BAV70,TSOT-23_HandSoldering,39.1752,-64.8644,0.0,top
D14,D_BAV70,TSOT-23_HandSoldering,128.1,-55.1,0.0,top
D15,D_BAV70,TSOT-23_HandSoldering,126.9252,-79.9144,90.0,top
D16,D_BAV70,TSOT-23_HandSoldering,150.0752,-55.2644,0.0,top
D17,D_BAV70,TSOT-23_HandSoldering,149.9752,-101.8644,0.0,top
D18,SK6812MINI,YS-SK6812MINI-E-bkb,43.725201,-119.184398,0.0,top
D19,SK6812MINI,YS-SK6812MINI-E-bkb,87.2252,-38.334399,0.0,top
D21,SK6812MINI,YS-SK6812MINI-E-bkb,87.2534,-61.2554,0.0,top
D23,SK6812MINI,YS-SK6812MINI-E-bkb,87.2534,-84.1916,0.0,top
D25,SK6812MINI,YS-SK6812MINI-E-bkb,87.2534,-107.1532,0.0,top
D31,D_BAV70,TSOT-23_HandSoldering,60.6752,-65.0144,0.0,top
D32,D_BAV70,TSOT-23_HandSoldering,59.7752,-112.9644,90.0,top
D33,SK6812MINI,YS-SK6812MINI-E-bkb,65.241599,-73.2348,0.0,top
D35,SK6812MINI,YS-SK6812MINI-E-bkb,65.241599,-50.324,0.0,top
D37,SK6812MINI,YS-SK6812MINI-E-bkb,109.2244,-104.8926,0.0,top
D39,SK6812MINI,YS-SK6812MINI-E-bkb,109.2244,-81.9818,0.0,top
D41,SK6812MINI,YS-SK6812MINI-E-bkb,109.2244,-59.0202,0.0,top
D43,SK6812MINI,YS-SK6812MINI-E-bkb,109.2244,-36.0586,0.0,top
D45,SK6812MINI,YS-SK6812MINI-E-bkb,132.721,-39.5704,0.0,top
D47,SK6812MINI,YS-SK6812MINI-E-bkb,132.721,-62.5066,0.0,top
D49,SK6812MINI,YS-SK6812MINI-E-bkb,132.7464,-85.4428,0.0,top
D51,SK6812MINI,YS-SK6812MINI-E-bkb,132.7252,-108.434398,0.0,top
D53,SK6812MINI,YS-SK6812MINI-E-bkb,154.234799,-39.544998,0.0,top
D55,SK6812MINI,YS-SK6812MINI-E-bkb,154.209399,-62.506598,0.0,top
D57,SK6812MINI,YS-SK6812MINI-E-bkb,154.234799,-85.442798,0.0,top
D59,SK6812MINI,YS-SK6812MINI-E-bkb,154.234799,-108.404398,0.0,top
J1,Conn_01x06_Female,PinHeader_1x06_P2.54mm_Vertical,120.8852,-106.9044,0.0,top
J2,Conn_01x05_Female,PinHeader_1x05_P2.54mm_Vertical,120.9608,-66.719199,0.0,top
J3,Conn_01x03_Female,PinHeader_1x03_P2.54mm_Vertical,53.6952,-55.3644,0.0,top
J4,Conn_01x06_Female,PinHeader_1x06_P2.54mm_Vertical,120.9608,-80.536799,0.0,top
J5,Conn_01x03_Female,PinHeader_1x03_P2.54mm_Vertical,143.9552,-112.5344,0.0,top
SW1,SW_Push,SW_MX_KS_Choc-mod,43.7372,-55.330601,0.0,top
SW2,SW_Push,SW_MX_KS_Choc-mod,43.7372,-78.292201,0.0,top
SW3,SW_Push,SW_MX_KS_Choc-mod,43.7372,-101.228401,0.0,top
SW4,SW_Push,SW_MX_KS_Choc-mod,43.7372,-124.190001,0.0,top
SW5,SW_Push,SW_MX_KS_Choc-mod,65.241599,-55.324,0.0,top
SW6,SW_Push,SW_MX_KS_Choc-mod,65.241599,-78.2348,0.0,top
SW7,SW_Push,SW_MX_KS_Choc-mod,65.241599,-101.1964,0.0,top
SW8,SW_Push,SW_MX_KS_Choc-mod,65.241599,-124.1326,0.0,top
SW9,SW_Push,SW_MX_KS_Choc-mod,87.228,-43.2938,0.0,top
SW10,SW_Push,SW_MX_KS_Choc-mod,87.2534,-66.2554,0.0,top
SW11,SW_Push,SW_MX_KS_Choc-mod,87.2534,-89.1916,0.0,top
SW12,SW_Push,SW_MX_KS_Choc-mod,87.2534,-112.1532,0.0,top
SW14,SW_Push,SW_MX_KS_Choc-mod,109.2244,-41.0586,0.0,top
SW15,SW_Push,SW_MX_KS_Choc-mod,109.2244,-64.0202,0.0,top
SW16,SW_Push,SW_MX_KS_Choc-mod,109.2244,-86.9818,0.0,top
SW17,SW_Push,SW_MX_KS_Choc-mod,109.2244,-109.8926,0.0,top
SW19,SW_Push,SW_MX_KS_Choc-mod,132.721,-44.5704,0.0,top
SW20,SW_Push,SW_MX_KS_Choc-mod,132.721,-67.5066,0.0,top
SW21,SW_Push,SW_MX_KS_Choc-mod,132.7464,-90.4428,0.0,top
SW22,SW_Push,SW_MX_KS_Choc-mod,132.7464,-113.4044,0.0,top
SW23,SW_Push,SW_MX_KS_Choc-mod,154.234799,-44.544998,0.0,top
SW24,SW_Push,SW_MX_KS_Choc-mod,154.209399,-67.506598,0.0,top
SW25,SW_Push,SW_MX_KS_Choc-mod,154.234799,-90.442798,0.0,top
SW26,SW_Push,SW_MX_KS_Choc-mod,154.234799,-113.404398,0.0,top
